ID,Campus,Situação no Curso,Modalidade,Curso,Ano/Semestre letivo da ocorrência,Série/Período da ocorrência,Principal motivo da ocorrência,Motivo terciário da ocorrência,Motivo secundário da ocorrência
441,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2018.1,1,Dificuldade em conciliar estudo e trabalho,,
442,IP,Evadido,Licenciatura,Licenciatura em Informática,2021.1,1,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal,Necessidade de cuidar de familiar no horário do curso,Dificuldade em conciliar estudo e trabalho
443,SPP,Evadido,Técnico Integrado,Técnico em Meio Ambiente,2021.1,1,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar os estudos com outros cursos
444,MO,Evadido,Técnico Integrado EJA,Técnico em Edificações,2022.2,6,Dificuldade em conciliar estudo e trabalho,,
445,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Dificuldade de aprendizagem,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
446,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2020.1,1,Dificuldade de transporte para a unidade de ensino,,
447,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Dificuldade de aprendizagem,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
448,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Dificuldade de aprendizagem,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
449,CAL,Evadido,Técnico Subsequente,Técnico em Guia de Turismo,2018.1,1,Dificuldade em conciliar estudo e trabalho,,
450,PF,Evadido,Licenciatura,Licenciatura em Química,2018.2,2,Falta de identificação com o curso,,
451,SPP,Evadido,Técnico Integrado,Técnico em Meio Ambiente,2021.2,2,Dificuldade em conciliar estudo e trabalho,Falta de disciplina para o estudo,Falta de hábito de estudo
452,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Dificuldade de aprendizagem,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
453,PF,Evadido,Licenciatura,Licenciatura em Química,2021.1,1,Dificuldade em conciliar estudo e trabalho,,
454,IP,Evadido,Licenciatura,Licenciatura em Química,2021.1,1,Necessidade de cuidar de familiar no horário do curso,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal,Necessidade de cuidar de familiar no horário do curso
455,MO,Evadido,Técnico Subsequente,Técnico em Edificações,2021.1,1,Falta de hábito de estudo,,
456,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,4,Problema de saúde pessoal ou de familiar,Problema de saúde pessoal ou de familiar,Problema de saúde pessoal ou de familiar
457,SC,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2022.2,1,Necessidade de trabalhar,,
458,MO,Evadido,Licenciatura,Licenciatura em Matemática,2021.2,1,Dificuldade em conciliar os estudos com outros cursos,,
459,SC,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2021.2,1,Necessidade de trabalhar,,
460,IP,Evadido,Técnico Integrado EJA,Técnico em Agroecologia,2020.1,2,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
461,MO,Evadido,Licenciatura,Licenciatura em Matemática,2021.2,1,Desmotivação ou desinteresse pelo curso,,
462,IP,Evadido,Técnico Integrado EJA,Técnico em Agroecologia,2020.1,2,Mudança de interesse profissional ou pessoal,Desmotivação ou desinteresse pelo curso,Mudança de interesse profissional ou pessoal
463,IP,Evadido,Licenciatura,Licenciatura em Química,2021.1,1,Falta de recursos financeiros para aquisição de material escolar,Falta de recursos financeiros para aquisição de material escolar,Falta de recursos financeiros para aquisição de material escolar
464,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2020.1,1,Dificuldade em conciliar estudo e trabalho,,
465,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2020.2,2,Ingresso em outro curso,Ingresso em outro curso,Ingresso em outro curso
466,CAL,Evadido,Tecnologia,Tecnologia em Gestão Desportiva e de Lazer,2020.1,3,Dificuldade em conciliar estudo e trabalho,,
467,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2020.2,2,Dificuldade de aprendizagem,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
468,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2020.2,2,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
469,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2018.1,2,Falta de aptidão para o curso escolhido,,Falta de recursos financeiros para aquisição de material escolar
470,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2020.2,3,Ingresso em outro curso,Ingresso em outro curso,Ingresso em outro curso
471,CAL,Evadido,Técnico Subsequente,Técnico em Guia de Turismo,2020.1,2,Problema psicológico pessoal ou de familiar,,
472,SC,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2021.1,1,Necessidade de trabalhar,,
473,IP,Evadido,Técnico Integrado EJA,Técnico em Agroecologia,2020.1,5,Dificuldade de aprendizagem,Desmotivação ou desinteresse pelo curso,Necessidade de cuidar de familiar no horário do curso
474,SC,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2019.2,1,Dificuldades de (re)adaptação à rotina escolar,,
475,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2020.2,3,Ingresso em outro curso,Necessidade de trabalhar,Necessidade de trabalhar
476,IP,Evadido,Técnico Integrado EJA,Técnico em Agroecologia,2019.1,3,Ingresso em outro curso,Desmotivação ou desinteresse pelo curso,Mudança de interesse profissional ou pessoal
477,IP,Evadido,Técnico Integrado,Técnico em Informática,2019.1,3,Falta de identificação com o curso,Desmotivação ou desinteresse pelo curso,Mudança de interesse profissional ou pessoal
478,CAL,Evadido,Tecnologia,Tecnologia em Gestão Desportiva e de Lazer,2020.1,1,Desmotivação ou desinteresse pelo curso,,
479,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2021.1,1,Dificuldade em conciliar estudo e trabalho,,Falta de recursos financeiros para transporte escolar
480,IP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2020.1,1,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
481,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2018.1,2,Necessidade de cuidar de familiar no horário do curso,,
482,SC,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2022.2,1,Dificuldade de transporte para a unidade de ensino,,
483,IP,Evadido,Tecnologia,Tecnologia em Agroecologia,2020.1,1,Mudança de cidade,Mudança de cidade,Mudança de cidade
484,CANG,Trancado,Licenciatura,Licenciatura em Educação do Campo,2018.1,3,Dificuldade em conciliar estudo e trabalho,,Dificuldade em conciliar os estudos com outros cursos
485,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2022.1,3,Problema psicológico pessoal ou de familiar,,
486,SC,Evadido,Licenciatura,Licenciatura em Matemática,2021.1,1,Dificuldade em conciliar estudo e trabalho,,
487,SC,Trancado,Licenciatura,Licenciatura em Matemática,2020.1,5,Dificuldade em conciliar os estudos com outros cursos,,
488,SC,Evadido,Licenciatura,Licenciatura em Matemática,2019.1,4,Necessidade de trabalhar,,
489,SC,Evadido,Licenciatura,Licenciatura em Matemática,2022.1,1,Dificuldade de aprendizagem,,
490,SC,Evadido,Licenciatura,Licenciatura em Matemática,2021.1,1,Falta de identificação com o curso,,
491,SC,Evadido,Técnico Integrado,Técnico em Informática,2022.1,4,Dificuldade em conciliar os estudos com outros cursos,,
492,CA,Evadido,Licenciatura,Licenciatura em Física,2020.1,1,Dificuldade em conciliar estudo e trabalho,,
493,CA,Evadido,Licenciatura,Licenciatura em Física,2019.1,1,Dificuldade em conciliar estudo e trabalho,,
494,CA,Evadido,Licenciatura,Licenciatura em Física,2020.1,1,Desmotivação ou desinteresse pelo curso,,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
495,CA,Evadido,Licenciatura,Licenciatura em Física,2019.1,1,Ingresso em outro curso,,Mudança de interesse profissional ou pessoal
496,CA,Evadido,Licenciatura,Licenciatura em Física,2021.1,1,Falta de identificação com o curso,,
497,CA,Evadido,Licenciatura,Licenciatura em Física,2021.1,1,Inadequação do turno de oferta do curso,,
498,CA,Evadido,Licenciatura,Licenciatura em Física,2019.1,1,Dificuldade em conciliar estudo e trabalho,,Mudança de cidade
499,CA,Evadido,Licenciatura,Licenciatura em Física,2018.1,1,Dificuldade em conciliar estudo e trabalho,,Falta de recursos financeiros para transporte escolar
500,CA,Evadido,Licenciatura,Licenciatura em Física,2018.1,1,Dificuldade em conciliar estudo e trabalho,,
501,CN,Evadido,Técnico Integrado,Técnico em Manutenção e Suporte em Informática,2018.1,1,Falta de identificação com o curso,Falta de identificação com o curso,Falta de identificação com o curso
502,CN,Evadido,Técnico Integrado,Técnico em Manutenção e Suporte em Informática,2019.1,4,Falta de avaliação efetiva das ações de extensão e acompanhamento de estágios,Falta de avaliação efetiva das ações de extensão e acompanhamento de estágios,Falta de avaliação efetiva das ações de extensão e acompanhamento de estágios
503,PF,Evadido,Licenciatura,Licenciatura em Química,2021.1,3,Dificuldade de aprendizagem,,Ingresso em outro curso
504,PF,Evadido,Licenciatura,Licenciatura em Química,2018.1,1,Falta de moradia,,
505,CN,Evadido,Técnico Integrado,Técnico em Informática,2020.1,2,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
506,SPP,Trancado,Técnico Subsequente,Técnico em Edificações,2023.1,4,Dificuldade em conciliar estudo e trabalho,,
507,CANG,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2021.1,2,Desmotivação ou desinteresse pelo curso,,
508,LAJ,Evadido,Técnico Subsequente,Licenciatura em Informática,2021.2,1,Dificuldades de (re)adaptação à rotina escolar,Falta de conhecimento sobre a área e o curso escolhido,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
509,CN,Evadido,Técnico Integrado,Técnico em Alimentos,2019.1,4,Falta de avaliação efetiva das ações de extensão e acompanhamento de estágios,Falta de avaliação efetiva das ações de extensão e acompanhamento de estágios,Falta de avaliação efetiva das ações de extensão e acompanhamento de estágios
510,CANG,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2020.1,2,Falta de identificação com o curso,,
511,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2018.1,1,Necessidade de trabalhar,,
512,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2018.2,2,Dificuldade de aprendizagem,Desmotivação ou desinteresse pelo curso,Dificuldades na relação docente-estudante
513,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2020.1,1,Falta de identificação com o curso,,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
514,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2019.2,4,Dificuldade de aprendizagem,Desmotivação ou desinteresse pelo curso,Falta de recursos financeiros para aquisição de material escolar
515,ZL,Evadido,Técnico Subsequente,Técnico em Administração,2022.2,1,Falta de recursos financeiros para transporte escolar,,
516,CANG,Trancado,Tecnologia,Tecnologia em Gestão do Turismo,2023.1,5,Dificuldade em conciliar estudo e trabalho,,
517,CN,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,,Falta de identificação com o curso
518,CN,Evadido,Técnico Integrado,Técnico em Alimentos,2018.1,4,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
519,ZL,Evadido,Técnico Subsequente,Técnico em Administração,2022.2,1,Problema de saúde pessoal ou de familiar,,
520,SGA,Evadido,Tecnologia,Técnico em Logística,2018.2,2,Ingresso em outro curso,,
521,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2021.1,4,Dificuldade de aprendizagem,Dificuldade de aprendizagem,Dificuldade de aprendizagem
522,ZL,Evadido,Técnico Subsequente,Técnico em Administração,2022.2,1,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",,
523,CN,Evadido,Licenciatura,Licenciatura em Química,2018.1,1,Problema de saúde pessoal ou de familiar,,
524,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2021.1,3,Dificuldade em conciliar os estudos com outros cursos,,
525,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2021.1,3,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
526,ZL,Evadido,Técnico Subsequente,Técnico em Secretaria Escolar,2021.1,1,Problema de saúde pessoal ou de familiar,,
527,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2019.1,3,Necessidade de cuidar de familiar no horário do curso,Necessidade de cuidar de familiar no horário do curso,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria
528,PF,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal,Necessidade de trabalhar,Dificuldade em conciliar estudo e trabalho
529,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2020.1,3,Necessidade de trabalhar,,Inadequação do turno de oferta do curso
530,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.1,1,Falta de recursos financeiros para aquisição de material escolar,,
531,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2021.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldades de (re)adaptação à rotina escolar,Falta de disciplina para o estudo
532,CN,Evadido,Técnico Integrado,Técnico em Alimentos,2018.1,4,Dificuldades de (re)adaptação à rotina escolar,Dificuldades de (re)adaptação à rotina escolar,Dificuldades de (re)adaptação à rotina escolar
533,CNAT,Evadido,Técnico Integrado,Técnico em Geologia,2018.1,3,Falta de identificação com o curso,Mudança de interesse profissional ou pessoal,Necessidade de trabalhar
534,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.1,1,Problema de saúde pessoal ou de familiar,,
535,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2020.1,1,Falta de dedicação aos estudos,,
536,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2021.2,4,Dificuldade em conciliar os estudos com outros cursos,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,Dificuldade em conciliar estudo e trabalho
537,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.1,1,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",Desmotivação ou desinteresse pelo curso,Falta de recursos financeiros para transporte escolar
538,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2020.1,5,Inadequação da metodologia de ensino ao perfil dos estudantes,,Necessidade de trabalhar
539,CAL,Evadido,Tecnologia,Tecnologia em Gestão Desportiva e de Lazer,2021.1,1,Falta de identificação com o curso,,
540,CN,Evadido,Licenciatura,Licenciatura em Química,2019.1,1,Necessidade de trabalhar,,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
541,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2021.1,4,Dificuldade em conciliar estudo e trabalho,Dificuldades de (re)adaptação à rotina escolar,Necessidade de trabalhar
542,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.1,1,Problema psicológico pessoal ou de familiar,,
543,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2022.1,5,Dificuldade em conciliar os estudos com outros cursos,,
544,CN,Evadido,Licenciatura,Licenciatura em Química,2021.1,1,Falta de identificação com o curso,,
545,SGA,Evadido,Tecnologia,Técnico em Logística,2019.2,2,Dificuldade em conciliar estudo e trabalho,,
546,ZL,Evadido,Técnico Subsequente,Técnico em Administração,2022.2,1,Falta de recursos financeiros para transporte escolar,,
547,CN,Evadido,Técnico Integrado,Técnico em Alimentos,2018.1,3,Problema psicológico pessoal ou de familiar,Problema psicológico pessoal ou de familiar,Problema psicológico pessoal ou de familiar
548,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.1,1,Dificuldade em conciliar estudo e trabalho,,Dificuldade em conciliar os estudos com outros cursos
549,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2021.1,2,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Mudança de cidade
550,NC,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2022.1,1,Problema psicológico pessoal ou de familiar,,Dificuldade de aprendizagem
551,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2020.2,2,Falta de recursos financeiros para aquisição de material escolar,,
552,CANG,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2022.1,1,Dificuldade em conciliar estudo e trabalho,,
553,CAL,Evadido,Técnico Subsequente,Técnico em Guia de Turismo,2021.1,1,Dificuldades de (re)adaptação à rotina escolar,,
554,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.1,1,Dificuldade em conciliar estudo e trabalho,,Falta de recursos financeiros para transporte escolar
555,NC,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2021.1,1,Necessidade de trabalhar,,Dificuldade em conciliar estudo e trabalho
556,CN,Evadido,Licenciatura,Licenciatura em Química,2018.1,1,Falta de identificação com o curso,,
557,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.1,1,Dificuldade em conciliar estudo e trabalho,,
558,SGA,Evadido,Tecnologia,Técnico em Logística,2019.2,1,Problema psicológico pessoal ou de familiar,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade em conciliar estudo e trabalho
559,SPP,Evadido,Licenciatura,Licenciatura em Matemática,2022.2,1,Dificuldade em conciliar estudo e trabalho,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,Dificuldade em conciliar estudo e trabalho
561,CANG,Trancado,Tecnologia,Tecnologia em Gestão do Turismo,2021.2,8,Inadequação da metodologia de ensino ao perfil dos estudantes,,
560,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2020.1,1,Falta de recursos financeiros para transporte escolar,,
562,IP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2018.1,1,Ingresso em outro curso,Mudança de interesse profissional ou pessoal,Mudança de interesse profissional ou pessoal
563,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2020.2,3,Ingresso em outro curso,Falta de identificação com o curso,Mudança de cidade
564,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.2,2,Problema psicológico pessoal ou de familiar,,
565,SPP,Evadido,Licenciatura,Licenciatura em Matemática,2022.1,1,Necessidade de trabalhar,Desmotivação ou desinteresse pelo curso,Dificuldade em conciliar estudo e trabalho
566,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2022.1,1,Falta de recursos financeiros para transporte escolar,,
567,SGA,Evadido,Tecnologia,Técnico em Logística,2018.2,3,Dificuldade em conciliar estudo e trabalho,,
568,CN,Evadido,Licenciatura,Licenciatura em Química,2021.2,1,Problema de saúde pessoal ou de familiar,,
569,SPP,Evadido,Licenciatura,Licenciatura em Matemática,2022.1,1,Desatualização da organização didática,Dificuldades na relação docente-estudante,Dificuldades na relação docente-estudante
570,CNAT,Evadido,Técnico Integrado,Técnico em Geologia,2018.1,2,Ingresso em outro curso,,
571,CAL,Evadido,Técnico Subsequente,Técnico em Guia de Turismo,2020.2,2,Problema psicológico pessoal ou de familiar,,Problema de saúde pessoal ou de familiar
572,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2022.2,4,Necessidade de trabalhar,Necessidade de trabalhar,Mudança de cidade
573,CAL,Evadido,Técnico Subsequente,Técnico em Guia de Turismo,2020.1,2,Falta de identificação com o curso,,
574,CANG,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2020.2,1,Desatualização e descontextualização do curso,,
575,CN,Evadido,Técnico Integrado,Técnico em Alimentos,2018.1,3,Mudança de cidade,,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
576,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2022.1,1,Falta de identificação com o curso,,
577,PAR,Evadido,Técnico Integrado,Técnico em Informática,2018.2,1,Ingresso em outro curso,,
578,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2021.2,6,Mudança de cidade,,
579,SGA,Evadido,Tecnologia,Técnico em Logística,2020.2,3,Dificuldade de transporte para a unidade de ensino,,
580,SGA,Trancado,Técnico Subsequente,Técnico em Edificações,2020.1,4,Dificuldade de transporte para a unidade de ensino,,
581,CN,Evadido,Licenciatura,Licenciatura em Química,2021.1,2,Falta de recursos financeiros para transporte escolar,,
582,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2021.1,3,Problema psicológico pessoal ou de familiar,,
583,CN,Evadido,Licenciatura,Licenciatura em Química,2019.1,1,Falta de identificação com o curso,,
584,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2022.1,1,Dificuldade em conciliar estudo e trabalho,,
585,ZL,Evadido,Tecnologia,Tecnologia em Gestão Ambiental,2020.1,1,Desmotivação ou desinteresse pelo curso,,
586,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2019.2,2,Desmotivação ou desinteresse pelo curso,,
587,SGA,Evadido,Tecnologia,Técnico em Logística,2020.1,4,Dificuldade em conciliar estudo e trabalho,,
588,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2019.2,2,Ingresso em outro curso,Ingresso em outro curso,Ingresso em outro curso
589,SGA,Evadido,Técnico Subsequente,Técnico em Edificações,2020.2,1,Dificuldade de transporte para a unidade de ensino,,
590,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2022.1,1,Dificuldade em conciliar estudo e trabalho,,
591,CN,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Necessidade de trabalhar,,
592,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2019.2,2,Dificuldade em conciliar estudo e trabalho,Desmotivação ou desinteresse pelo curso,Mudança de cidade
593,SGA,Evadido,Tecnologia,Técnico em Logística,2020.1,4,Dificuldade em conciliar estudo e trabalho,,
594,PAR,Evadido,Técnico Integrado,Técnico em Informática,2018.2,1,Necessidade de cuidar de familiar no horário do curso,,
595,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2022.1,1,Ingresso em outro curso,,
596,ZL,Evadido,Técnico Subsequente,Técnico em Secretaria Escolar,2022.2,2,Dificuldade em conciliar estudo e trabalho,,
597,CANG,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2020.1,1,Necessidade de trabalhar,,
598,CN,Evadido,Licenciatura,Licenciatura em Química,2021.2,2,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,,Falta de recursos financeiros para transporte escolar
599,ZL,Evadido,Tecnologia,Tecnologia em Gestão Pública,2022.2,1,Falta de recursos financeiros para transporte escolar,,
600,SGA,Evadido,Técnico Subsequente,Técnico em Edificações,2020.2,1,Dificuldade em conciliar estudo e trabalho,,
601,SGA,Evadido,Técnico Subsequente,Técnico em Edificações,2021.2,1,Dificuldade em conciliar estudo e trabalho,,
602,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2022.1,1,Dificuldade em conciliar os estudos com outros cursos,,
603,NC,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2020.1,1,Dificuldade de realização de aulas práticas e/ou aulas de campo,,Defasagem de conhecimentos anteriores ao ingresso no curso
604,MO,Evadido,Técnico Subsequente,Técnico em Informática,2020.2,4,Falta de disciplina para o estudo,,
605,SGA,Evadido,Técnico Subsequente,Técnico em Edificações,2020.2,1,Dificuldade em conciliar estudo e trabalho,,
606,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2019.1,1,Dificuldade em conciliar os estudos com outros cursos,,
607,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2020.1,1,Dificuldades de (re)adaptação à rotina escolar,,Problema psicológico pessoal ou de familiar
608,PAR,Evadido,Técnico Integrado,Técnico em Informática,2019.2,2,Dificuldades de (re)adaptação à rotina escolar,,
609,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2022.2,2,Dificuldade em conciliar estudo e trabalho,,
610,SGA,Evadido,Técnico Subsequente,Técnico em Edificações,2021.2,1,Mudança de cidade,,
611,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2020.2,2,Necessidade de trabalhar,,
612,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2019.2,2,Mudança de interesse profissional ou pessoal,Dificuldades de (re)adaptação à rotina escolar,Falta de identificação com o curso
613,MO,Evadido,Técnico Subsequente,Técnico em Informática,2019.1,2,Falta de acompanhamento e apoio pedagógico dos estudantes,,
614,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2018.1,1,Necessidade de trabalhar,,Mudança de turno de trabalho
615,MO,Evadido,Técnico Subsequente,Técnico em Informática,2020.2,4,Falta de acompanhamento e apoio pedagógico dos docentes,,
616,NC,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2022.1,1,Falta de recursos financeiros para transporte escolar,,Necessidade de trabalhar
617,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2022.1,1,Dificuldade em conciliar os estudos com outros cursos,,
618,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2019.2,3,Falta de hábito de estudo,,
619,CANG,Trancado,Tecnologia,Tecnologia em Gestão do Turismo,2023.1,6,Complexidade dos conteúdos abordados nas disciplinas,,
620,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2019.2,2,Dificuldades de (re)adaptação à rotina escolar,,Excesso do número de atividades avaliativas
621,CAL,Evadido,Tecnologia,Tecnologia em Gestão Desportiva e de Lazer,2021.1,2,Necessidade de trabalhar,,
622,CANG,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2021.1,1,Dificuldades de (re)adaptação à rotina escolar,,
623,NC,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2020.1,1,Dificuldade de realização de aulas práticas e/ou aulas de campo,,
624,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2019.2,2,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
625,CNAT,Evadido,Técnico Integrado,Técnico em Geologia,2021.1,1,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso
626,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2020.1,2,Necessidade de trabalhar,,
627,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2019.1,3,Dificuldade de obter material para execução de trabalhos e aulas práticas,,
628,CAL,Evadido,Tecnologia,Tecnologia em Gestão Desportiva e de Lazer,2021.1,1,Falta de assiduidade do estudante,,
629,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2021.1,1,Necessidade de trabalhar,,
